date,close,volume,high,low,open
2015-12-17,108.98,44654830.0000,112.25,108.98,108.91
2015-12-16,111.34,56157370.0000,111.99,108.8,112.02
2015-12-15,110.49,53168580.0000,112.8,110.35,111.07
2015-12-14,112.48,64678220.0000,112.68,109.79,111.94
2015-12-11,113.18,46810020.0000,115.39,112.851,112.18
2015-12-10,116.17,29158640.0000,116.94,115.51,115.19
2015-12-09,115.62,46301930.0000,117.69,115.08,116.04
2015-12-08,118.23,34275420.0000,118.6,116.86,117.64
2015-12-07,118.28,32063100.0000,119.86,117.81,117.52
2015-12-04,119.03,57717870.0000,119.25,115.11,118.98
2015-12-03,115.2,41511380.0000,116.79,114.22,115.29
2015-12-02,116.28,33316990.0000,118.11,116.08,116.55
2015-12-01,117.34,34806250.0000,118.81,116.86,117.05
2015-11-30,118.3,38063130.0000,119.41,117.75,118.75
2015-11-27,117.81,13046450.0000,118.41,117.6,117.99
2015-11-25,118.03,21341960.0000,119.23,117.92,118.29
2015-11-24,118.88,42747950.0000,119.35,117.12,119.21
2015-11-23,117.75,32445680.0000,119.73,117.34,117.33
2015-11-20,119.3,34135230.0000,119.92,118.85,119.27
2015-11-19,118.78,43233950.0000,119.75,116.76,119.2
2015-11-18,117.29,46559730.0000,117.49,115.5,117.64
2015-11-17,113.69,27584020.0000,115.05,113.32,115.76
2015-11-16,114.175,37979570.0000,114.24,111.0,114.92
2015-11-13,112.34,45555300.0000,115.57,112.27,111.38
2015-11-12,115.72,32461350.0000,116.82,115.65,115.2
2015-11-11,116.11,45179400.0000,117.42,115.21,116.26
2015-11-10,116.77,59029400.0000,118.07,116.061,116.37
2015-11-09,120.57,33829290.0000,121.81,120.05,116.9
2015-11-06,121.06,33009110.0000,121.81,120.62,120.96
2015-11-05,120.92,39483400.0000,122.69,120.18,121.11
2015-11-04,122.0,44829060.0000,123.82,121.62,121.85
2015-11-03,122.57,45479260.0000,123.49,120.7,123.13
2015-11-02,121.18,32152870.0000,121.36,119.61,120.79
2015-10-30,119.5,49305220.0000,121.22,119.45,119.87
2015-10-29,120.53,51106100.0000,120.69,118.27,120.99
2015-10-28,119.27,85436210.0000,119.3,116.06,118.7
2015-10-27,114.55,67673450.0000,116.54,113.99,116.93
2015-10-26,115.28,66139770.0000,118.13,114.92,115.4
2015-10-23,119.08,59251740.0000,119.228,116.33,118.08
2015-10-22,115.5,41430660.0000,115.5,114.1,116.7
2015-10-21,113.76,42276880.0000,115.58,113.7,114.33
2015-10-20,113.77,48929200.0000,114.17,110.82,114.0
2015-10-19,111.73,29723750.0000,111.75,110.11,111.34
2015-10-16,111.04,38794930.0000,112.0,110.53,110.8
2015-10-15,111.86,37622200.0000,112.1,110.49,111.78
2015-10-14,110.21,44434220.0000,111.52,109.56,110.93
2015-10-13,111.79,32970790.0000,112.45,110.68,111.29
2015-10-12,111.6,30386830.0000,112.75,111.44,110.82
2015-10-09,112.12,52720620.0000,112.28,109.49,112.73
2015-10-08,109.5,61747260.0000,110.19,108.21,110.0
2015-10-07,110.78,46717770.0000,111.77,109.41,110.19
2015-10-06,111.31,48702200.0000,111.74,109.765,111.74
2015-10-05,110.78,52033100.0000,111.3698,109.07,110.63
2015-10-02,110.38,57774940.0000,111.0136,107.55,109.88
2015-10-01,109.58,63849470.0000,109.62,107.31,108.01
2015-09-30,110.3,66300930.0000,111.54,108.73,109.07
2015-09-29,109.06,73230280.0000,113.51,107.86,110.17
2015-09-28,112.44,51861990.0000,114.57,112.44,112.83
2015-09-25,114.71,56005550.0000,116.69,114.02,113.85
2015-09-24,115.0,50061580.0000,115.5,112.37,116.44
2015-09-23,114.32,35678360.0000,114.72,113.3,113.25
2015-09-22,113.4,50278030.0000,114.18,112.5201,113.63
2015-09-21,115.21,46594220.0000,115.37,113.66,113.38
2015-09-18,113.45,73991000.0000,114.3,111.87,113.67
2015-09-17,113.92,63712340.0000,116.49,113.715,112.21
2015-09-16,116.41,37080720.0000,116.54,115.44,115.66
2015-09-15,116.28,43218350.0000,116.53,114.42,116.25
2015-09-14,115.31,58279570.0000,116.89,114.86,115.93
2015-09-11,114.21,49793750.0000,114.21,111.76,116.58
2015-09-10,112.57,62800770.0000,113.2825,109.9,111.79
2015-09-09,110.15,84757780.0000,114.02,109.77,110.27
2015-09-08,112.31,54507300.0000,112.56,110.32,113.76
2015-09-04,109.27,49904460.0000,110.45,108.51,111.65
2015-09-03,110.37,53142590.0000,112.78,110.04,108.97
2015-09-02,112.34,61681250.0000,112.34,109.131,112.49
2015-09-01,107.72,76562170.0000,111.88,107.36,110.23
2015-08-31,112.76,56111590.0000,114.53,112.0,110.15
2015-08-28,113.29,53075960.0000,113.31,111.54,112.03
2015-08-27,112.92,83825220.0000,113.24,110.02,112.17
2015-08-26,109.69,96531890.0000,109.89,105.05,112.23
2015-08-25,103.74,102731700.0000,111.11,103.5,107.085
2015-08-24,103.12,161882500.0000,108.8,92.0,111.11
2015-08-21,105.76,127246600.0000,111.9,105.645,94.87
2015-08-20,112.65,68176940.0000,114.35,111.63,110.43
2015-08-19,115.01,48079330.0000,116.52,114.68,114.08
2015-08-18,116.5,34525630.0000,117.44,116.01,116.1
2015-08-17,117.16,40827260.0000,117.65,115.5,116.43
2015-08-14,115.96,42876370.0000,116.31,114.01,116.04
2015-08-13,115.15,48407640.0000,116.4,114.54,114.32
2015-08-12,115.24,101593400.0000,115.42,109.63,116.04
2015-08-11,113.49,96820670.0000,118.18,113.33,112.53
2015-08-10,119.72,54851010.0000,119.99,116.53,117.81
2015-08-07,115.52,38610120.0000,116.25,114.5,116.53
2015-08-06,115.13,52828890.0000,116.5,114.115,114.58
2015-08-05,115.4,99202400.0000,117.44,112.1,115.97
2015-08-04,114.64,123601900.0000,117.7,113.25,112.95
2015-08-03,118.44,69639900.0000,122.57,117.52,117.42
2015-07-31,121.3,42832890.0000,122.6425,120.91,121.5
2015-07-30,122.37,33400950.0000,122.5699,121.71,122.6
2015-07-29,122.99,36912040.0000,123.5,122.27,122.32
2015-07-28,123.38,33570380.0000,123.91,122.55,123.15
2015-07-27,122.77,44371580.0000,123.61,122.12,123.38
2015-07-24,124.5,42090320.0000,125.74,123.9,123.09
2015-07-23,125.16,50832950.0000,127.09,125.06,125.32
2015-07-22,125.22,115288400.0000,125.5,121.99,126.2
2015-07-21,130.75,73006780.0000,132.92,130.32,121.99
2015-07-20,132.07,55204920.0000,132.97,130.7,132.85
2015-07-17,129.62,45970470.0000,129.62,128.31,130.97
2015-07-16,128.51,35987630.0000,128.57,127.35,129.08
2015-07-15,126.82,33559770.0000,127.15,125.58,127.74
2015-07-14,125.61,31695870.0000,126.37,125.04,125.72
2015-07-13,125.66,41365600.0000,125.755,124.32,126.04
2015-07-10,123.28,61292800.0000,123.85,121.21,125.03
